Company,Industry
Ameren,Utilities
Nucor,Materials
Rockwell Automation,Industrials
Avery Dennison,Materials
"Tapestry, Inc.",Consumer Discretionary
Tractor Supply,Consumer Discretionary
Air Products and Chemicals,Materials
AT&T,Communication Services
M&T Bank,Financials
Cognizant,Information Technology
Leidos,Industrials
Danaher Corporation,Health Care
Applied Materials,Information Technology
Bank of America,Financials
Aptiv,Consumer Discretionary
Iron Mountain,Real Estate
Whirlpool Corporation,Consumer Discretionary
Dow Inc.,Materials
Eaton Corporation,Industrials
Humana,Health Care
Kinder Morgan,Energy
Huntington Ingalls Industries,Industrials
NetApp,Information Technology
Pentair,Industrials
Robert Half,Industrials
Zebra Technologies,Information Technology
Allstate,Financials
Cadence Design Systems,Information Technology
Ford Motor Company,Consumer Discretionary
Invesco,Financials
Elevance Health,Health Care
Expeditors International,Industrials
Fortive,Industrials
TE Connectivity,Information Technology
Juniper Networks,Information Technology
Vici Properties,Real Estate
IDEX Corporation,Industrials
CarMax,Consumer Discretionary
Goldman Sachs,Financials
Johnson & Johnson,Health Care
Mid-America Apartment Communities,Real Estate
Zions Bancorporation,Financials
eBay,Consumer Discretionary
McDonald's,Consumer Discretionary
Chipotle Mexican Grill,Consumer Discretionary
HP Inc.,Information Technology
Insulet,Health Care
Netflix,Communication Services
Public Service Enterprise Group,Utilities
MSCI,Financials
Honeywell,Industrials
Waters Corporation,Health Care
Alphabet Inc.,Communication Services
Arthur J. Gallagher & Co.,Financials
Equinix,Real Estate
Molina Healthcare,Health Care
Nvidia,Information Technology
Newmont,Materials
Universal Health Services,Health Care
International Flavors & Fragrances,Materials
Jabil,Information Technology
Camden Property Trust,Real Estate
Freeport-McMoRan,Materials
Ingersoll Rand,Industrials
Interpublic Group of Companies,Communication Services
Philip Morris International,Consumer Staples
Sysco,Consumer Staples
Airbnb,Consumer Discretionary
Palo Alto Networks,Information Technology
TransDigm Group,Industrials
Essex Property Trust,Real Estate
MGM Resorts,Consumer Discretionary
Cummins,Industrials
Raymond James,Financials
Zoetis,Health Care
Autodesk,Information Technology
CenterPoint Energy,Utilities
Comcast,Communication Services
Expedia Group,Consumer Discretionary
Fastenal,Industrials
Keysight,Information Technology
Norwegian Cruise Line Holdings,Consumer Discretionary
Allegion,Industrials
Arch Capital Group,Financials
Baker Hughes,Energy
Ball Corporation,Materials
Dominion Energy,Utilities
Sempra Energy,Utilities
Stanley Black & Decker,Industrials
Booking Holdings,Consumer Discretionary
